S.NO,      STATE/UT,Poverty Rate,Literacy,Sex Ratio,Umemployment,NSDP (Rs)
1,Andhra Pradesh,12.3,66.4,1045,6.4833,151173
2,Arunachal Pradesh,34.67,66.95,997,7.6,139588
3,Assam,31.98,85.9,1012,2.5666,82078
4,Bihar,33.74,70.9,1090,12.8083,43822
5,Chhattisgarh,39.93,77.3,1015,3.9166,96887
6,Goa,3.76,87.4,1027,16.7666,458304
7,Gujarat,16.63,82.4,965,2.05,197447
8,Haryana,12.3,80.4,926,28.4475,236147
9,Himachal Pradesh,7.62,86.6,1040,11.8166,179188
10,Jammu & Kashmir,10.35,NA,NA,15.6916,91882
11,Jharkhand,36.96,74.3,1050,13.8833,76019
12,Karnataka,13.2,77.2,1034,2.675,210887
13,Kerala,0.71,96.2,1121,8.825,204105
14,Madhya Pradesh,31.65,73.7,970,2.8583,90998
15,Maharashtra,17.35,84.8,966,4.3916,191736
16,Manipur,36.89,79.85,1066,9.5,69978
17,Meghalaya,32.67,75.48,1039,2.28,89024
18,Mizoram,9.8,91.58,1018,NA,168626
19,Nagaland,25.23,80.11,1007,19.3,116882
20,Odisha,32.59,77.3,1063,2.4166,95164
21,Punjab,5.59,83.7,938,7.675,154996
22,Rajasthan,29.46,69.7,1099,23.95,110606
23,Sikkim,3.82,82.2,990,6.47,357643
24,Tamil Nadu,4.89,82.9,1088,7.1166,204488
25,Telangana,13.74,72.8,1049,4.4416,193750
26,Tripura,16.65,87.75,1011,10.48,113102
27,Uttar Pradesh,29.43,73,1017,5.125,66512
28,Uttarakhand,17.72,87.6,1016,4.475,198738
29,West Bengal,14.88,80.5,1049,9.0916,109491
30,A & N Islands,1,86.27,963,NA,204254
31,Chandigarh,21.81,86.43,917,7.89,329209
32,D&N Haveli,39.31,76.24,774,NA,NA
33,Daman & Diu,9.86,87.1,551,NA,NA
34,Delhi UT,9.91,88.7,913,15.0666,365529
35,Lakshadweep,2.77,92.28,1187,28.6666,NA
37,Puducherry,9.69,86.6,1112,11.375,220461
